LT218320.1,77133
KT749813.1,9606
FJ006830.1,77133
HQ622790.1,9590
KM162469.1,77133
AM259267.1,1211
EU339335.1,515995
AY227541.1,89094
KM503097.1,62291
KM335116.1,77133
NC_036927.1,307977
EU880340.1,385674
HQ622794.1,9590
EU339337.1,515995
KY070168.1,1917191
KR154306.1,1804638
EF531999.1,439429
KJ939101.1,1602015
LC455649.1,109265
EF532002.1,439429
LC422497.1,77133
EF532000.1,439429
MG569725.1,2055927
JQ793349.1,77133
EF532006.1,439429
KM132399.1,77133
KU151976.1,77133
JQ498730.1,77133
KM331807.1,77133
KM216749.1,365635
MG569729.1,2055932
GU270759.2,77133
KF973799.1,77133
KY039399.1,9031
LN715974.1,77133
MG196299.1,73815
LC418560.1,77133
KF874616.1,8478
KM247362.1,1582975
HQ622796.1,9590
AF091696.1,9946
JX455823.1,74916
NC_039591.1,71117
KF944970.1,500530
JQ499631.1,77133
EU634456.1,221218
KM343900.1,77133
JQ941839.1,77133
KY039398.1,9031
MH112213.1,198431
LC124788.1,77133
LC455665.1,136072
GQ923920.1,77133
JF930783.1,77133
MH111948.1,198431
KR154308.1,1804632
AB242162.1,357282
JN860618.1,204965
MN207472.1,2598099
JN464146.1,155900
MK028732.1,9913
KM886936.1,9031
AB661290.1,77133
KC495060.1,1732522
JX456508.1,1211
KM323971.1,77133
KC507835.1,356254
KU150473.1,77133
KY070162.1,123785
KM319107.1,77133
MK028734.1,9913
KM135204.1,77133
KC507837.1,356254
MG272772.1,9606
DQ283303.1,299648
JQ305065.1,77133
KC507831.1,356254
MG277527.1,77133
MG011094.1,77133
GQ464294.1,30521
MG011018.1,77133
JN860632.1,74934
KC331416.1,77133
JN999703.2,82168
KX758350.1,89462
JN183394.1,77133
JN632708.1,9946
KC757404.1,61853
MH918127.1,135647
HQ386338.1,1211
MK028730.1,9913
AB630890.1,77133
MN207474.1,2598106
JQ942014.1,77133
KC495062.1,1732522
KU377759.1,154535
AC012365.6,9606
JQ937210.1,1273190
JN632706.1,66440
MH553744.1,9606
JQ266013.1,378291
HE602782.1,77133
KM128465.1,77133
MH683775.1,2557846
JN860620.1,260627
AF363578.1,9606
MH683773.1,2557844
KU377749.1,269212
JQ489818.1,77133
EU442909.1,77133
MH683731.1,2557819
FR648197.1,1211
JX869289.1,167235
KY070192.1,45469
AM259269.1,380698
KY070194.1,45469
KR310919.1,77133
MK279401.1,30520
MN125705.1,9606
MG272758.1,9606
JN860614.1,74914
EU634748.1,100233
KY039396.1,9031
MK598763.1,2528658
HM563850.1,939169
KX504436.1,77133
KM316082.1,77133
KU683305.1,9606
JX983895.1,77133
KP289200.1,511044
GQ340110.1,77133
HQ176636.1,77133
KC507839.1,356254
NC_032371.1,123793
KM386847.1,1572397
MK972438.1,2528661
KX758340.1,89462
MN203699.1,9606
KY070182.1,45466
MG234521.1,2047995
JX047296.1,43179
JX279906.1,77133
KX758320.1,89462
KJ645562.1,77133
MH499882.1,9606
JX047294.1,99846
FN297169.1,77133
HM563842.1,302546
KX758322.1,89462
KY070190.1,123785
LC065674.1,77133
MK904581.1,9606
MG196300.1,302418
KX758352.1,89462
MG196306.1,1496684
KX758328.1,89462
FJ662732.1,1869227
KC747665.1,2497118
AC105921.5,9606
KX381345.1,124751
KX381256.1,27622
MK975884.1,9606
KM386849.1,1522843
AY115132.1,30360
MH041139.1,77133
KU967820.1,77133
AB794533.1,77133
KF785463.1,77133
U52737.1,47562
HQ176658.1,77133
MH553694.1,9606
KC507829.1,356254
KM317502.1,77133
KX181461.1,61410
MG844497.1,154535
JN632637.1,37751
EU880318.1,156867
MK930532.1,9606
JN632631.1,1027983
JX454988.1,8467
GU935361.1,756687
AB930744.1,77133
KT361134.1,77133
MF680041.1,88823
FQ658793.1,164851
GQ128218.1,77133
KX269139.1,268291
KR154312.1,1804636
GU261707.1,400035
HM315595.1,77133
KM340119.1,77133
MG844485.1,154535
KR332553.1,77133
AY016726.1,58176
JQ034420.1,8469
KX269128.1,268291
KJ161440.1,1472757
JN632635.1,69300
DQ221222.1,353262
JN694509.1,77133
JX454984.1,8467
HG802774.1,82168
HQ622777.1,9580
JQ491341.1,77133
MH522450.1,2248741
KM320286.1,77133
Y08504.1,9694
HQ622771.1,9580
EF532005.1,30327
HQ681908.1,204803
JN632651.1,9962
KR154316.1,1804639
KM344033.1,77133
FJ916367.1,1211
CP034492.1,111789
KX504530.1,77133
KR154310.1,1804633
MK280770.1,2495766
CP034495.1,111789
MG596696.1,2057266
MF089284.1,77133
KX482079.1,155900
KT284046.1,120965
JN484154.1,155900
GU305702.1,77133
FJ763765.1,686873
AC008580.7,9606
HQ622767.1,9580
KM345139.1,77133
HQ176660.1,77133
HG802806.1,82168
JX869238.1,167235
KX381280.1,124752
HG802776.1,82168
HQ622775.1,9580
JX279877.1,77133
FJ763775.1,686854
FJ844228.1,77133
HG802826.1,82168
GQ340349.1,77133
MG232648.1,2047983
JX673301.1,77133
KF785732.1,77133
KM128730.1,77133
KU149063.1,77133
HG802778.1,82168
JX564348.1,77133
AC193936.3,9598
AY928621.1,305979
MH314130.1,77133
GU934055.1,77133
HG802808.1,82168
JN032900.1,77133
MH553737.1,9606
GU912084.1,77133
JN505173.1,155900
KX758399.1,89462
JX869351.1,1211
KX269124.1,268291
HE577697.1,77133
MH683736.1,2557824
KX269126.1,268291
KM130368.1,77133
HG802796.1,82168
AY495506.1,159333
KM335827.1,77133
MG844488.1,154535
KJ645580.1,77133
KM347607.1,77133
MG011033.1,77133
JN475903.1,155900
KT991336.1,1785702
JN582335.1,378289
AB818613.1,77133
LT670892.1,1926487
MG011037.1,77133
HG802790.1,82168
LT670890.1,1926485
JX287444.1,280003
AY680238.1,30327
MH918128.1,135647
MH683734.1,2557822
KU631436.1,77133
AY898732.1,305979
AY227524.1,64681
KM344707.1,77133
GQ423870.1,77133
KC432419.1,77133
JX869254.1,167235
KM128640.1,77133
JN117205.1,77133
DQ497265.1,335392
HG802804.1,82168
KY377584.1,77133
MH683758.1,2557836
KF834988.1,1434920
AC021451.8,9606
KX620511.1,599854
KY039426.1,9031
MK069559.1,9606
LC016777.1,1205931
JQ579803.1,120965
MG563374.1,2055901
LC016775.1,1590022
JN868130.1,152509
AY667206.1,303930
JN868889.1,77133
GQ125672.1,77133
KY398015.1,1267598
KC507866.1,356254
MG844515.1,154535
KC507864.1,356254
GQ130152.1,686866
KU968577.1,77133
KY624533.1,77133
KY039422.1,9031
AY770537.1,8467
HM263019.1,77133
KC507858.1,356254
GQ130150.1,686869
AY667208.1,9946
KC507862.1,356254
FJ351052.1,77133
MH683742.1,2557828
MG844501.1,154535
JX869240.1,167235
KY379881.1,1930151
JN468649.1,155900
KC733376.1,385678
KP326309.1,99825
HQ904560.1,77133
JN632680.1,59536
JQ692071.1,30521
EU375426.1,77133
GQ889470.1,886815
KY070159.1,45467
KP144796.1,64681
MN062684.1,2588788
KC836051.1,77133
KC507850.1,356254
CP011271.1,1630693
KY348384.1,156866
EF536350.1,9917
MG596727.1,2057297
KC507856.1,356254
KM198328.1,64681
KC757411.1,9590
MG844509.1,154535
MK069578.1,9606
AY819376.1,47562
GQ340338.1,77133
AY147248.1,1536848
KY942598.1,77133
KM178385.1,77133
KX512321.1,9031
AB200924.1,310660
JQ272734.1,77133
MK069574.1,9606
CP027084.1,72004
KC747662.1,384941
KM178210.1,77133
JX279896.1,77133
MK069576.1,9606
JF766419.1,77133
HG802835.1,82168
KR323917.1,77133
AJ429210.1,122219
KX882745.1,55534
KT199100.1,526407
JN117120.1,77133
JX279892.1,77133
GQ410312.1,77227
AJ429212.1,122221
EF536357.1,69298
KY039416.1,9031
MG569708.1,2055917
KT013297.1,9606
AJ851256.1,298890
JN478444.1,155900
KF162304.1,9606
KM341463.1,77133
JX287452.1,1303775
AY532553.1,77133
GU305806.1,77133
FJ905813.1,222863
KY348398.1,129216
KX269115.1,268291
DQ642417.1,77133
KX094979.1,126663
JQ277464.1,260618
JX047286.1,99854
